;Time;Number_of_Casualties;Day_of_Week;Road_Type;Speed_limit;Light_Conditions;Weather_Conditions;Road_Surface_Conditions;Urban_or_Rural_Area;Vehicle_Type;Did_Police_Officer_Attend_Scene_of_Accident;Junction_Detail;Number_of_Vehicles;Accident_Severity;Unnamed: 14;Accident_Date
0;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;13/01/2023 23:19
1;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;28/04/2023 23:47
2;Tarde;-1;Fin de semana;6;30.0;1;1;1;1;bike;1;3;1;3;;3/10/2022 0:04
3;Tarde;-2;Día laboral;6;30.0;1;1;1;1;bike;1;6;1;2;;5/03/2023 7:17
4;Mañana;-2;Día laboral;6;30.0;1;1;1;1;bike;1;6;1;3;;23/10/2022 7:03
5;Tarde;-2;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;23/05/2023 8:43
6;Tarde;-1;Fin de semana;6;30.0;1;1;1;1;bike;1;0;1;2;;28/02/2023 14:11
7;Tarde;-1;Día laboral;3;30.0;4;1;1;1;bike;1;0;1;3;;23/06/2022 6:37
8;Noche;-1;Día laboral;3;30.0;4;2;2;1;bike;1;3;1;3;;21/05/2023 16:50
9;Tarde;-1;Fin de semana;3;30.0;1;1;1;1;bike;1;6;1;3;;24/05/2022 17:19
10;Tarde;-1;Día laboral;1;30.0;1;1;1;1;bike;2;1;1;3;;18/04/2023 8:01
11;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;2;6;1;2;;19/06/2022 15:49
12;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;2;3;1;3;;11/11/2022 20:12
13;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;5/09/2022 18:15
14;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;31/01/2023 0:40
15;Noche;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;9/04/2023 11:49
16;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;6;1;3;;21/02/2023 23:52
17;Mañana;-1;Día laboral;6;30.0;1;2;2;1;bike;1;3;1;3;;4/05/2023 2:48
18;Noche;-1;Día laboral;6;30.0;4;1;1;1;bike;1;0;1;3;;16/10/2022 3:10
19;Noche;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;22/03/2023 7:07
20;Mañana;-1;;2;30.0;1;1;1;1;bike;1;7;1;3;;1/02/2023 8:20
21;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;2;0;1;3;;27/11/2022 12:21
22;Mañana;-2;Día laboral;3;30.0;1;1;1;1;bike;1;0;1;3;;16/04/2023 21:47
23;Tarde;-2;Fin de semana;6;30.0;1;1;1;1;bike;2;3;1;3;;6/05/2023 6:16
24;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;30/06/2022 0:18
25;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;1/10/2022 0:43
26;Noche;-1;Fin de semana;6;30.0;1;1;1;1;bike;1;0;1;3;;4/03/2023 5:37
27;Tarde;-2;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;2;;28/07/2022 4:35
28;Noche;-1;Día laboral;6;30.0;1;2;2;1;bike;1;6;1;3;;12/07/2022 1:15
29;Noche;-1;Día laboral;6;30.0;1;1;1;1;bike;1;6;1;3;;6/11/2022 0:14
30;Tarde;-1;Día laboral;6;30.0;4;1;1;1;bike;1;7;1;2;;21/06/2022 11:00
31;Mañana;-1;Día laboral;6;30.0;1;2;2;1;bike;1;3;1;3;;4/03/2023 4:07
32;Tarde;-1;Fin de semana;6;30.0;1;1;1;1;bike;1;3;1;3;;30/07/2022 4:52
33;Mañana;-1;Día laboral;1;30.0;1;1;1;1;bike;1;1;1;3;;12/10/2022 13:11
34;Noche;-2;Fin de semana;6;30.0;4;1;1;1;bike;2;3;1;3;;16/05/2022 14:29
35;Noche;-1;Fin de semana;6;30.0;4;1;1;1;bike;1;0;1;3;;11/01/2023 13:37
36;Madrugada;-1;;6;30.0;4;1;1;1;bike;1;0;1;3;;27/07/2022 13:40
37;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;8/01/2023 22:36
38;Noche;-2;Fin de semana;6;30.0;1;2;2;1;bike;1;3;1;2;;18/05/2023 13:07
39;Tarde;-1;Fin de semana;6;30.0;1;1;1;1;bike;1;0;1;3;;3/04/2023 22:25
40;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;29/05/2023 2:51
41;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;13/08/2022 18:42
42;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;2;0;1;2;;11/08/2022 11:37
43;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;30/05/2022 17:03
44;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;28/04/2023 15:37
45;Mañana;-1;Día laboral;3;50.0;1;1;1;1;bike;2;0;1;3;;21/08/2022 8:12
46;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;3/10/2022 3:15
47;Noche;-1;Día laboral;6;30.0;1;1;1;1;bike;1;6;1;2;;26/10/2022 20:12
48;Noche;-1;Fin de semana;6;30.0;4;2;2;2;bike;1;0;1;1;;19/07/2022 12:30
49;Tarde;-2;Fin de semana;6;30.0;1;1;1;1;bike;1;3;2;1;;24/05/2022 15:35
50;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;2;0;1;2;;18/05/2023 22:35
51;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;18/04/2023 7:14
52;Noche;-2;Día laboral;3;30.0;1;1;1;1;bike;1;3;1;2;;16/12/2022 11:37
53;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;3;;9/12/2022 2:07
54;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;2;0;1;3;;24/02/2023 3:44
55;Mañana;-1;Día laboral;6;30.0;1;1;1;1;bike;2;3;1;3;;22/02/2023 10:08
56;Mañana;-1;Día laboral;6;60.0;1;2;2;2;bike;1;0;1;2;;27/03/2023 17:25
57;Noche;-1;Día laboral;6;30.0;4;1;1;1;bike;1;0;1;3;;6/02/2023 8:37
58;Noche;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;22/07/2022 4:21
59;Tarde;-1;Día laboral;6;60.0;1;1;1;2;bike;2;0;1;3;;30/07/2022 3:37
60;Tarde;-1;Día laboral;6;30.0;1;1;1;2;bike;1;0;1;1;;30/12/2022 22:31
61;Tarde;-1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;2;;13/12/2022 5:07
62;Mañana;-1;Día laboral;6;40.0;1;1;1;1;bike;1;7;1;2;;19/04/2023 9:34
63;Mañana;-1;Día laboral;6;30.0;1;2;2;1;bike;1;3;1;3;;11/04/2023 11:55
64;Tarde;-2;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;3;;8/07/2022 11:08
65;Mañana;-1;Día laboral;6;30.0;1;2;2;1;bike;1;3;1;2;;3/11/2022 19:22
66;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;2;0;1;3;;4/02/2023 21:30
67;Tarde;-1;Día laboral;3;30.0;1;1;1;1;bike;2;0;1;2;;9/01/2023 9:22
68;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;2;3;1;3;;10/08/2022 3:26
69;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;2;9;1;3;;2/11/2022 2:29
70;Tarde;-1;Día laboral;2;30.0;1;1;1;1;bike;1;3;1;3;;21/12/2022 8:35
71;Noche;-1;;6;60.0;1;1;1;2;bike;1;0;1;2;;19/01/2023 3:03
72;Tarde;-1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;3;;11/10/2022 13:38
73;Mañana;-1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;3;;27/09/2022 19:27
74;Noche;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;2;;2/05/2022 10:03
75;Noche;-1;Día laboral;6;30.0;4;2;2;1;bike;1;9;1;2;;27/02/2023 16:54
76;Mañana;-1;Fin de semana;6;30.0;1;1;1;1;bike;1;0;1;3;;9/01/2023 15:55
77;Noche;-1;Día laboral;6;30.0;1;1;1;1;bike;1;3;1;2;;21/04/2023 21:31
78;Tarde;-1;Día laboral;6;30.0;1;2;2;1;bike;1;3;1;3;;4/06/2022 22:05
79;Noche;-1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;2;;1/12/2022 22:07
80;Tarde;-1;Día laboral;6;60.0;1;1;1;2;bike;1;0;1;2;;8/07/2022 11:17
81;Noche;-1;Fin de semana;6;30.0;4;1;1;1;bike;1;0;1;3;;22/10/2022 20:51
82;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;2;;20/03/2023 16:58
83;Noche;-1;Fin de semana;6;50.0;4;2;2;1;bike;1;3;1;3;;10/02/2023 4:54
84;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;2;3;1;3;;28/03/2023 4:46
85;Noche;-1;Día laboral;1;50.0;4;1;1;2;bike;1;1;1;3;;25/05/2022 14:58
86;Tarde;-1;Fin de semana;6;30.0;1;2;2;2;bike;1;3;1;2;;11/12/2022 8:27
87;Madrugada;-1;Día laboral;6;30.0;4;1;1;1;bike;1;0;1;3;;25/12/2022 19:06
88;Tarde;-1;Fin de semana;3;70.0;1;1;1;2;bike;1;0;1;1;;5/08/2022 18:01
89;Mañana;-1;Día laboral;6;30.0;1;2;2;1;bike;2;3;1;3;;2/11/2022 19:38
90;Noche;-1;Día laboral;6;30.0;4;2;2;1;bike;1;0;1;2;;8/09/2022 3:23
91;Noche;-1;Día laboral;6;30.0;4;1;1;1;bike;1;0;1;3;;5/07/2022 0:17
92;Tarde;-2;Día laboral;2;30.0;1;1;1;1;bike;1;0;1;2;;11/04/2023 12:11
93;Tarde;-1;Día laboral;6;30.0;1;1;1;1;bike;2;0;1;2;;20/10/2022 18:52
94;Noche;-1;Día laboral;6;30.0;1;1;1;1;bike;1;0;1;2;;3/05/2022 9:43
